id,sub_dist,Village,longitude,Latitude,B,POINT_X,POINT_Y,DEM,slope_pc,DEM_accu,DEM_flength,DEM_curv,DEM_Plan_Curv,DEM_Prf_Curv,landuse,LST.jan1,LST.apr7,LST.jun26,LST.sep30,NDVI_JAN4,NDVI_Apr4,preciJan2019,preciApr2019,preciJun2019,preciSep2019
1,Ambalappuzha,Ambalappuzha,76.4025,9.338333,0.624,654023.1333,1032563.609,0,3.963590622,1,12.6148243,-0.628401995,0,0.628401995,30,26.3699894,35.68999481,28.9699955,28.58999062,0.809007287,0.157659337,0.003041517,0.14179945,0.526782095,0.559304416
2,Ambalappuzha,Ambalappuzha,76.359167,9.373334,0.286,649248.4904,1036415.719,9,4.431428909,0,0,1.256803989,0.628401995,-0.628401995,15,28.17000771,33.80998993,27.68999672,27.11001015,0.700475991,0.603881299,0.003041517,0.14179945,0.526782095,0.559304416
3,Ambalappuzha,Ambalappuzha,76.359167,9.373334,0.286,649248.4904,1036415.719,9,4.431428909,0,0,1.256803989,0.628401995,-0.628401995,15,28.17000771,33.80998993,27.68999672,27.11001015,0.700475991,0.603881299,0.003041517,0.14179945,0.526782095,0.559304416
4,Ambalappuzha,Ambalappuzha,76.359167,9.373334,0.286,649248.4904,1036415.719,9,4.431428909,0,0,1.256803989,0.628401995,-0.628401995,15,28.17000771,33.80998993,27.68999672,27.11001015,0.700475991,0.603881299,0.003041517,0.14179945,0.526782095,0.559304416
14,Ambalappuzha,Ambalappuzha,76.359167,9.373334,0.286,649248.4904,1036415.719,9,4.431428909,0,0,1.256803989,0.628401995,-0.628401995,15,28.17000771,33.80998993,27.68999672,27.11001015,0.700475991,0.603881299,0.003041517,0.14179945,0.526782095,0.559304416
15,Ambalappuzha,Ambalappuzha,76.359167,9.373334,0.286,649248.4904,1036415.719,9,4.431428909,0,0,1.256803989,0.628401995,-0.628401995,15,28.17000771,33.80998993,27.68999672,27.11001015,0.700475991,0.603881299,0.003041517,0.14179945,0.526782095,0.559304416
18,Ambalappuzha,Ambalappuzha,76.359167,9.373334,0.286,649248.4904,1036415.719,9,4.431428909,0,0,1.256803989,0.628401995,-0.628401995,15,28.17000771,33.80998993,27.68999672,27.11001015,0.700475991,0.603881299,0.003041517,0.14179945,0.526782095,0.559304416
19,Ambalappuzha,Ambalappuzha,76.359167,9.373334,0.286,649248.4904,1036415.719,9,4.431428909,0,0,1.256803989,0.628401995,-0.628401995,15,28.17000771,33.80998993,27.68999672,27.11001015,0.700475991,0.603881299,0.003041517,0.14179945,0.526782095,0.559304416
22,Ambalappuzha,Ambalappuzha,76.39055499,9.383611,0.276,652691.3099,1037565.734,4,0,3,37.84447479,0,0,0,16,27.23000526,35.23000336,25.8699894,28.3699894,0.809276879,0.692678988,0.003041517,0.14179945,0.526782095,0.559304416
23,Ambalappuzha,Ambalappuzha,76.368611,9.393333,0.339,650277.097,1038631.423,2,1.401340842,20,244.9068604,0,0,0,8,28.17000771,34.55001068,28.29000282,27.5700016,0.762300313,0.51873672,0.003041517,0.14179945,0.526782095,0.559304416
24,Ambalappuzha,Ambalappuzha,76.359167,9.373334,0.286,649248.4904,1036415.719,9,4.431428909,0,0,1.256803989,0.628401995,-0.628401995,15,28.17000771,33.80998993,27.68999672,27.11001015,0.700475991,0.603881299,0.003041517,0.14179945,0.526782095,0.559304416
26,Ambalappuzha,Ambalappuzha,76.4025,9.338333,0.624,654023.1333,1032563.609,0,3.963590622,1,12.6148243,-0.628401995,0,0.628401995,30,26.3699894,35.68999481,28.9699955,28.58999062,0.809007287,0.157659337,0.003041517,0.14179945,0.526782095,0.559304416
